epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,2.011972e+02,6.409039e+04,6.511213e+00,3.946346e+03,4.188227
0.200000,9.927265e+01,1.570894e+04,2.875851e+00,9.120358e+02,4.978227
0.300000,6.423384e+01,6.699752e+03,1.834511e+00,3.872445e+02,5.498227
0.400000,4.716370e+01,3.658793e+03,1.326534e+00,1.981689e+02,5.898227
0.500000,3.641557e+01,2.206662e+03,1.087369e+00,1.402779e+02,6.248227
0.600000,2.955544e+01,1.483020e+03,1.013147e+00,1.015776e+02,6.558227
0.700000,2.439952e+01,1.019147e+03,7.637675e-01,7.224819e+01,6.848227
0.800000,2.114368e+01,7.692160e+02,6.585101e-01,5.413817e+01,7.068227
0.900000,2.115696e+01,7.728969e+02,6.620847e-01,5.420271e+01,7.068227
1.000000,2.111461e+01,7.709301e+02,7.241801e-01,5.569339e+01,7.068227
1.200000,2.113932e+01,7.698856e+02,6.799396e-01,5.395867e+01,7.068227
1.400000,2.123463e+01,7.776717e+02,6.340494e-01,5.672667e+01,7.068227
1.600000,2.123894e+01,7.782669e+02,6.542202e-01,5.513314e+01,7.068227
1.800000,2.111457e+01,7.712326e+02,7.791861e-01,6.336139e+01,7.068227
2.000000,2.120613e+01,7.707823e+02,6.261550e-01,5.329008e+01,7.068227
3.000000,2.121482e+01,7.737849e+02,6.359269e-01,5.353776e+01,7.068227
4.000000,2.118894e+01,7.750204e+02,6.411166e-01,5.372782e+01,7.068227
5.000000,2.127132e+01,7.797126e+02,7.285018e-01,6.012853e+01,7.068227
6.000000,2.126798e+01,7.837721e+02,6.834684e-01,5.534889e+01,7.068227
7.000000,2.108124e+01,7.648857e+02,6.631139e-01,5.321696e+01,7.068227
8.000000,1.224770e+01,2.672169e+02,4.076210e-01,2.149341e+01,8.000000
9.000000,7.187095e+00,9.310305e+01,2.352582e-01,7.784630e+00,9.000000
10.000000,4.263832e+00,3.291770e+01,1.329174e-01,2.629613e+00,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
